"","year","ssb","rec","f","age"
"1968",1968,169722.332276913,682045.706170331,0.116542977655765,2.28161596323352
"1969",1969,216762.081089892,323830.74549625,0.117555889192174,2.71804397010027
"1970",1970,217066.731021716,281249.904758484,0.120054343356856,3.06379818424423
"1971",1971,235827.358454869,212609.220384877,0.119596541857938,3.47632365230858
"1972",1972,264113.183168229,289841.052412008,0.119901293709341,3.62570540633131
"1973",1973,211690.961275699,442893.718701255,0.144929694538811,2.98545141505605
"1974",1974,220700.940102257,619995.82273875,0.137971651905659,2.63375951423783
"1975",1975,277999.865577414,602538.287373469,0.129167109282444,2.59718420250344
"1976",1976,318767.661019444,292296.63516073,0.120134601183434,2.94835691583984
"1977",1977,423781.216543104,115130.651215355,0.111809154816405,3.56686194980645
"1978",1978,475178.261726198,88040.7671248395,0.10520643924113,4.32623130697243
"1979",1979,403774.568788527,125627.020090727,0.111004125054041,4.70750076161105
"1980",1980,349489.969192181,122540.123553499,0.116149015918946,4.70478403320888
"1981",1981,288994.149524639,204704.287507152,0.120132254061435,4.23709820108273
"1982",1982,272445.165545466,355617.326949705,0.123791790521359,3.53577971052829
"1983",1983,259762.586300929,462507.533477311,0.127890701881905,3.10223642581249
"1984",1984,279942.336684156,197228.891473214,0.131539605955937,3.03603108888461
"1985",1985,531367.200920753,179116.730682579,0.133824378454754,3.40475113320228
"1986",1986,496478.4903448,147534.054497489,0.133364800493443,3.78436310663907
"1987",1987,429645.81326859,164403.33447473,0.128731120465339,4.1819045670352
"1988",1988,417052.182736191,305722.242335401,0.124875908484008,4.1689892388348
"1989",1989,430577.756772304,369423.571462945,0.126659175470122,3.73573737636651
"1990",1990,461596.709253128,235136.041581132,0.15285606086496,3.79074197331071
"1991",1991,416754.92553518,187233.534390495,0.182462809628747,3.85331852872743
"1992",1992,307474.609764573,127386.657145876,0.214530855950142,4.13352572045179
"1993",1993,231997.55567038,66772.6687594246,0.263957993388931,4.23099549649687
"1994",1994,181707.530743368,117635.425535861,0.325459119019161,4.14610883395337
"1995",1995,137006.401089138,150020.219693372,0.393196947232969,3.44770667836546
"1996",1996,121884.356324116,152324.835478697,0.508107035127806,3.05835649917285
"1997",1997,115561.234866252,158224.244229499,0.634368949959712,2.70293501847167
"1998",1998,96672.1444592065,118464.575742068,0.762753532450266,2.5534602890785
"1999",1999,85508.0219558547,165157.050062758,0.900941656589214,2.34136317391457
"2000",2000,99184.8890912324,312956.820128495,1.02935784491058,1.83212191062332
"2001",2001,144827.724018429,157376.448876674,1.00584499630027,2.04676403886856
"2002",2002,181238.916743328,142939.948545236,0.871949153090844,2.56567146072745
"2003",2003,192470.515394135,220095.714771672,0.84716295095207,2.79198764256741
"2004",2004,165066.29669529,297273.615013816,0.875242149950547,2.53917637407396
"2005",2005,152949.043770689,236555.63632008,0.979694260555244,2.47935286297981
"2006",2006,176780.369792012,216661.295592634,1.07380218986989,2.51480561490192
"2007",2007,150401.222086742,125720.698090751,1.13233146402411,2.6196766234156
"2008",2008,111438.302777759,142053.710996062,1.14852660476099,2.60081158585139
"2009",2009,93279.475556979,118423.455986476,1.45282681468704,2.57160723326104
"2010",2010,65365.547798512,60549.2351295015,1.90088210068522,2.54816709056296
"2011",2011,36014.099492466,73983.3867026554,2.00924185734786,2.16840183395382
"2012",2012,30726.0487078719,61893.4184741373,1.77607083306887,1.92918279391979
"2013",2013,32133.1787912068,53052.8573932052,1.43613731135557,2.06190994354996
"2014",2014,33362.3607351159,62136.2067451873,1.18364625838301,2.08796196639612
"2015",2015,28267.853869756,87165.1897497882,1.09353597916186,1.87727849743135
"2016",2016,28817.7671814919,103108.267131957,1.09625512945558,1.81025759004064
"2017",2017,32924.5940328999,37516.7858311839,1.154422525135,2.20126250036128
"2018",2018,36130.7888893658,33505.9907584374,1.16470270050437,2.70023080842273
