"year","fleet","aux1","aux2"
1969,1,21372.4,33372.3009999992
1970,1,23916.3999999997,35490.3670000005
1971,1,27426.8000000006,37665.9839999992
1972,1,24997.2000000008,35210.211999999
1973,1,42672.1999999979,50863.8110000025
1974,1,49328.9000000006,56733.8759999974
1975,1,40278.6000000003,49082.7050000024
1976,1,36913.900000001,46480.0729999979
1977,1,25316.9,35112.0839999998
1978,1,28809.8999999988,38428.3209999998
1979,1,34071.199999999,43449.335
1980,1,25062.2000000008,35687.3930000006
1981,1,22404.0815375993,35054.5821504005
1982,1,19062.7169597999,31793.9548392012
1983,1,23106.0882440005,36329.2129759986
1984,1,21790.3626696,36414.5546784
1985,1,36140.5927959996,50726.933184
1986,1,37666.2051000005,56180.1414
1987,1,34287.9263800002,54696.1485200009
1988,1,31063.4726219991,50444.7674880001
1989,1,26765.2359880003,46423.3109519985
1990,1,32419.7771959993,66754.6757840022
1991,1,34381.9716319998,65934.9885279968
1992,1,32168.6692899986,53217.4391599989
1993,1,31491.7708400007,49246.6633599984
1994,1,26070.2919819997,48469.1149279993
1995,1,21501.3590699999,39845.3060800004
1996,1,26442.8066680002,50548.0956719985
1997,1,27248.8304400003,50207.3119599981
1998,1,24339.22122,46144.4452799992
1999,1,21318.54494,43076.1357600013
2000,1,19458.1317513999,37207.0882056005
2001,1,30053.5580659994,51586.2472639977
2002,1,43939.9941399994,72358.3067599981
2003,1,56205.9986479979,87987.7429920016
2004,1,70923.0547860027,114994.402143997
2005,1,69237.2243279973,105339.480311998
2006,1,70994.3504079968,116866.676832003
2007,1,63839.1740099976,89430.6352399988
2008,1,37467.939791999,64904.1981679991
2009,1,51330.9287600021,77307.7766400036
2010,1,45362.8595599994,65758.5402399975
2011,1,13555.1469078,26707.022431199
2012,1,9132.76572759998,19738.3381104001
2013,1,10900.739019,22227.3892760007
2014,1,8996.42955220004,17286.7974088
2015,1,6680.89988200001,14759.501928
2016,1,10904.762726,21091.7643039999
2017,1,12971.245994,22628.2219759998
2018,1,14256.119448,24301.145991999
2019,1,11164.0923912,18406.6575648
2020,1,10844.7297,19537.837
2021,1,6566.31450000003,12749.673
2022,1,721.632600000001,3377.266
