year,reported,unaccounted,col,US,min,max
1968,20838,11245.425,NA,3929,23707.6,35226.625
1969,18636,11245.101,NA,4364,21372.4,33372.301
1970,21006,11245.167,NA,4049,23916.4,35490.367
1971,24496,11245.184,NA,2406,27426.8,37665.984
1972,22360,11245.412,NA,2006,24997.2,35210.212
1973,38550,11245.011,NA,1336,42672.2,50863.811
1974,44655,11245.276,NA,1042,49328.9,56733.876
1975,36258,11245.505,NA,1974,40278.6,49082.705
1976,33065,11245.473,NA,2712,36913.9,46480.073
1977,22765,11245.484,NA,1377,25316.9,35112.084
1978,25899,11245.321,NA,1605,28809.9,38428.321
1979,30612,11245.335,NA,1990,34071.2,43449.335
1980,22296,11244.993,NA,2683,25062.2,35687.393
1981,19355,11245.256,NA,5567.907688,22404.08154,35054.58215
1982,16383,11245.287,NA,5207.084799,19062.71696,31793.95484
1983,19806,11245.26,NA,6597.44122,23106.08824,36329.21298
1984,18233,11245.304,NA,8670.313348,21790.36267,36414.55468
1985,30906,11244.962,NA,10719.96398,36140.5928,50726.93318
1986,31097,11245.121,NA,17297.5255,37666.2051,56180.1414
1987,27559,11245.043,NA,19865.1319,34287.92638,54696.14852
1988,25016,11245.277,NA,17729.36311,31063.47262,50444.76749
1989,21142,11245.167,NA,17545.17994,26765.23599,46423.31095
1990,23047,15435.367,NA,35340.38598,32419.7772,66754.67578
1991,25511,15144.502,NA,31599.35816,34381.97163,65934.98853
1992,26562,14853.562,NA,14752.34645,32168.66929,53217.43916
1993,26848,14562.78,NA,9794.8542,31491.77084,49246.66336
1994,20613,14272.147,NA,16979.95991,26070.29198,48469.11493
1995,17688.603,13981.12,NA,10219.47885,21501.35907,39845.30608
1996,20357.88,13993.661,NA,20245.69334,26442.80667,50548.09567
1997,21410.067,14006.218,NA,18488.7837,27248.83044,50207.31196
1998,19185.554,14018.444,NA,16175.5591,24339.22122,46144.44528
1999,16537.995,14031.139,NA,15633.7522,21318.54494,43076.13576
2000,16079.092,14043.474,NA,8855.652757,19458.13175,37207.08821
2001,24347.225,14152.58,NA,16358.05283,30053.55807,51586.24726
2002,34606.607,14260.794,NA,29363.6322,43939.99414,72358.30676
2003,44472.259,14369.429,NA,36432.56874,56205.99865,87987.74299
2004,53875.425,14478.628,NA,58300.43643,70923.05479,114994.4021
2005,54763.77,14587.401,NA,44985.38664,69237.22433,105339.4803
2006,53506.392,14811.008,NA,60686.59604,70994.35041,116866.6768
2007,53223.477,15033.761,NA,26466.74655,63839.17401,89430.63524
2008,29477.795,15256.942,NA,25211.82646,37467.93979,64904.19817
2009,42204.746,15480.198,NA,24528.5408,51330.92876,77307.77664
2010,38645.99,15703.468,NA,14261.3528,45362.85956,65758.54024
2011,11484.598,11534.068,NA,4610.445539,13555.14691,26707.02243
2012,6841.367,6467.923,NA,8036.310138,9132.765728,19738.33811
2013,8673.777,8115.275,NA,6797.921595,10900.73902,22227.38928
2014,6678.186,4006.9116,NA,8252.124761,8996.429552,17286.79741
2015,4272.892,2563.7352,NA,9903.59341,6680.899882,14759.50193
2016,8045.459,4827.274,NA,10273.78913,10904.76273,21091.7643
2017,9752.254,3900.9016,NA,11218.83297,12971.24599,22628.22198
2018,10907.777,4363.11,NA,11287.82374,14256.11945,24301.14599
2019,8749.904,3499.9616,NA,7695.989956,11164.09239,18406.65756
2020,7947.027,3178.81,NA,10515,10844.7297,19537.837
2021,4505.195,1802.078,NA,8053,6566.3145,12749.673
2022,55.666,680,NA,3302,721.6326,3377.266
